236,-17036,-157,287,119
-448,244,-17172,-184,289,122
-360,236,-17352,-167,303,112
-296,196,-17216,-180,273,142
-364,264,-17196,-176,241,137
-392,232,-17260,-143,221,119
-308,172,-17232,-157,235,114
-324,352,-17252,-192,223,130
-404,208,-17092,-180,195,127
-380,140,-17104,-164,214,89
-476,272,-17320,-165,245,145
-348,288,-17312,-168,234,112
-452,292,-17192,-153,265,121
-340,140,-17168,-181,269,123
-344,128,-17360,-172,317,114
-328,172,-17168,-169,321,116
-304,192,-17232,-165,272,126
-360,308,-17124,-154,257,126
-400,284,-17228,-157,217,123
-344,272,-17308,-173,246,107
-400,236,-17104,-177,180,106
-256,348,-17296,-155,261,150
-368,244,-17232,-189,280,104
-348,84,-17384,-169,287,137
-336,288,-17168,-137,243,119
-324,296,-17308,-177,281,124
-280,404,-17188,-171,298,100
-356,264,-17272,-181,256,119
-276,168,-17080,-163,238,141
-376,280,-17252,-152,200,104
-440,228,-17328,-174,253,130
-364,220,-17288,-176,249,114
-308,160,-17336,-160,235,101
-432,248,-17200,-177,267,129
-420,192,-17220,-160,281,114
-352,128,-17068,-195,275,123
-356,288,-17232,-183,264,133
-400,228,-17284,-154,272,118
-292,192,-17204,-166,245,108
-324,172,-17288,-188,210,118
-332,236,-17252,-145,235,125
-340,304,-17264,-178,208,95
-336,204,-17252,-149,230,118
-328,104,-17196,-156,228,104
-352,184,-17156,-195,229,135
-332,204,-17184,-143,268,139
-384,220,-17284,-165,273,93
-340,216,-17244,-170,324,104
-296,252,-17100,-176,288,131
-316,168,-17216,-177,231,128
-388,296,-17264,-150,228,115
-376,96,-17356,-180,241,115
-428,232,-17128,-177,222,147
-428,152,-17044,-153,258,121
-336,292,-17200,-159,254,119
-348,140,-17252,-159,269,111
-304,196,-17212,-178,275,129
-372,248,-17240,-162,247,95
-348,244,-17304,-170,296,113
-304,236,-17260,-188,282,126
-336,152,-17048,-149,260,123
-316,340,-17244,-163,226,120
-332,248,-17188,-168,237,130
-264,180,-17340,-170,235,129
-304,164,-17240,-179,219,113
-328,320,-17364,-173,192,99
-288,224,-17268,-161,267,114
-416,248,-17180,-189,258,98
-392,296,-17136,-192,260,123
-308,168,-17252,-183,252,148
-404,260,-17216,-171,249,98
-296,220,-17140,-183,266,115
-232,364,-17228,-156,255,138
-292,356,-17120,-174,228,105
-364,232,-17100,-150,244,129
-424,224,-17216,-176,228,104
-248,280,-17200,-191,248,139
-452,304,-17304,-146,275,99
-340,252,-17260,-169,273,120
-280,196,-17156,-153,274,121
-332,204,-17332,-189,263,135
-328,228,-17012,-145,235,136
-320,336,-17268,-161,243,104
-240,320,-17376,-146,249,101
-384,216,-17220,-170,237,124
-424,284,-17152,-141,224,75
-420,296,-17200,-150,219,139
-308,196,-17328,-167,236,106
-376,292,-17156,-178,247,146
-404,264,-17192,-147,231,124
-336,296,-17148,-179,320,120
-376,296,-17376,-172,288,129
-280,220,-17104,-178,278,120
-360,204,-17248,-170,254,126
-384,224,-17180,-155,257,105
-412,192,-17360,-172,237,143
-460,180,-17244,-170,204,125
-408,204,-17044,-133,215,110
-404,236,-17264,-176,235,115
-252,196,-17308,-139,271,135
-348,176,-17160,-191,247,125
-436,188,-17144,-154,259,106
-340,236,-17104,-153,315,146
-408,172,-17252,-153,261,113
-488,220,-17264,-137,258,139
-388,184,-17176,-171,225,116
-436,344,-17352,-162,224,116
-268,268,-17372,-167,257,124
-476,152,-17272,-157,232,115
-432,296,-17348,-174,226,125
-344,260,-17352,-148,272,126
-368,232,-17236,-187,274,134
-400,172,-17216,-174,307,96
-484,356,-17224,-189,248,128
-272,244,-17212,-154,280,110
-448,280,-17232,-176,240,114
-336,236,-17236,-144,272,121
-336,444,-17132,-177,221,129
-392,168,-17224,-155,231,105
