# angle, angle_rate, angle_acce, power
-9.214110672473907471e-03,-1.842822166508994997e-05,-5.097383022308349609e+00,-2.047784566879272461e+00
-7.080078125000000000e-02,-7.159876404330134392e-04,-4.860742092132568359e+00,-4.571104049682617188e+00
-1.321380734443664551e-01,-2.077145269140601158e-03,-3.952345132827758789e+00,-7.130180358886718750e+00
-1.690544486045837402e-01,-3.663832554593682289e-03,-3.356925249099731445e+00,-8.474056243896484375e+00
-2.106150388717651367e-01,-5.586790852248668671e-03,-2.937077760696411133e+00,-1.057714843750000000e+01
-2.609090507030487061e-01,-7.916541770100593567e-03,-3.188986301422119141e+00,-1.317832374572753906e+01
-2.861908376216888428e-01,-1.038262248039245605e-02,-3.219520568847656250e+00,-1.408397769927978516e+01
-3.267951011657714844e-01,-1.313144154846668243e-02,-3.654635190963745117e+00,-1.641684532165527344e+01
-3.598300814628601074e-01,-1.607317104935646057e-02,-3.837841272354125977e+00,-1.802374839782714844e+01
-3.931581974029541016e-01,-1.920109428465366364e-02,-3.647001504898071289e+00,-1.980280685424804688e+01
-4.285415410995483398e-01,-2.252645418047904968e-02,-3.845474720001220703e+00,-2.172332382202148438e+01
-4.712685644626617432e-01,-2.611281722784042358e-02,-4.043948173522949219e+00,-2.408798980712890625e+01
-5.168468952178955078e-01,-2.997564524412155151e-02,-4.105016708374023438e+00,-2.652463340759277344e+01
-5.536000728607177734e-01,-3.401286154985427856e-02,-3.631734371185302734e+00,-2.837944793701171875e+01
-5.861065387725830078e-01,-3.817328438162803650e-02,-3.402726650238037109e+00,-3.014113998413085938e+01
-6.283345222473144531e-01,-4.254796355962753296e-02,-3.776772499084472656e+00,-3.260310745239257812e+01
-6.489752531051635742e-01,-4.691031947731971741e-02,-3.776772499084472656e+00,-3.354988479614257812e+01
-6.803277730941772461e-01,-5.136807635426521301e-02,-4.097383022308349609e+00,-3.555809783935546875e+01
-7.200092077255249023e-01,-5.599976330995559692e-02,-3.937077760696411133e+00,-3.790774536132812500e+01
-7.571651935577392578e-01,-6.077142432332038879e-02,-3.837841272354125977e+00,-3.996479034423828125e+01
-7.865625619888305664e-01,-6.559848040342330933e-02,-3.349291563034057617e+00,-4.159112548828125000e+01
-8.233938217163085938e-01,-7.055249065160751343e-02,-3.036314487457275391e+00,-4.383034515380859375e+01
-8.437277078628540039e-01,-7.546214759349822998e-02,-2.929444313049316406e+00,-4.490815353393554688e+01
-8.769954442977905273e-01,-8.045899122953414917e-02,-2.669902324676513672e+00,-4.709310913085937500e+01
-9.075109958648681641e-01,-8.551114797592163086e-02,-2.669902324676513672e+00,-4.888050460815429688e+01
-9.321177005767822266e-01,-9.055676311254501343e-02,-2.318757295608520508e+00,-5.035002136230468750e+01
-9.623426198959350586e-01,-9.565234929323196411e-02,-2.440894603729248047e+00,-5.227907180786132812e+01
-9.867424964904785156e-01,-1.007371619343757629e-01,-2.517230510711669922e+00,-5.374478149414062500e+01
-1.018462777137756348e+00,-1.058849319815635681e-01,-2.501963376998901367e+00,-5.577540206909179688e+01
-1.053374648094177246e+00,-1.111244261264801025e-01,-2.509597063064575195e+00,-5.788158035278320312e+01
-1.076805353164672852e+00,-1.163362562656402588e-01,-2.303490161895751953e+00,-5.921536636352539062e+01
-1.103942394256591797e+00,-1.215588673949241638e-01,-2.112650394439697266e+00,-6.098627471923828125e+01
-1.123336076736450195e+00,-1.267142891883850098e-01,-2.074482440948486328e+00,-6.220363998413085938e+01
-1.128201961517333984e+00,-1.316605955362319946e-01,-2.250055074691772461e+00,-6.263822937011718750e+01
-1.153575658798217773e+00,-1.366133242845535278e-01,-2.150818347930908203e+00,-6.460671997070312500e+01
-1.169202804565429688e+00,-1.414746791124343872e-01,-2.234787702560424805e+00,-6.559344482421875000e+01
-1.190659046173095703e+00,-1.463075429201126099e-01,-2.501963376998901367e+00,-6.711404418945312500e+01
-1.210242390632629395e+00,-1.510945856571197510e-01,-2.807307004928588867e+00,-6.840933990478515625e+01
-1.243199944496154785e+00,-1.559718549251556396e-01,-2.845474720001220703e+00,-7.057690429687500000e+01
-1.268948197364807129e+00,-1.608627438545227051e-01,-3.074482440948486328e+00,-7.205838012695312500e+01
-1.295149326324462891e+00,-1.657710969448089600e-01,-3.234787702560424805e+00,-7.369905853271484375e+01
-1.325065851211547852e+00,-1.707331985235214233e-01,-3.303490161895751953e+00,-7.556739044189453125e+01
-1.350634098052978516e+00,-1.757028698921203613e-01,-3.479062557220458984e+00,-7.709993743896484375e+01
-1.377065777778625488e+00,-1.806883811950683594e-01,-3.410360336303710938e+00,-7.876565551757812500e+01
-1.404608607292175293e+00,-1.857000440359115601e-01,-4.173718929290771484e+00,-8.048737335205078125e+01
-1.443472981452941895e+00,-1.908497810363769531e-01,-4.608833789825439453e+00,-8.290505218505859375e+01
-1.485458016395568848e+00,-1.961618512868881226e-01,-4.593566417694091797e+00,-8.532894134521484375e+01
-1.542384147644042969e+00,-2.017776072025299072e-01,-4.883642673492431641e+00,-8.865341186523437500e+01
-1.590927720069885254e+00,-2.075980007648468018e-01,-4.967612266540527344e+00,-9.120944213867187500e+01
-1.632633328437805176e+00,-2.135444283485412598e-01,-4.876008987426757812e+00,-9.350390625000000000e+01
-1.679517030715942383e+00,-2.196623682975769043e-01,-5.097383022308349609e+00,-9.625908660888671875e+01
-1.731176137924194336e+00,-2.259910106658935547e-01,-5.517230510711669922e+00,-9.923809814453125000e+01
-1.777679800987243652e+00,-2.324682623147964478e-01,-5.876008987426757812e+00,-1.018259429931640625e+02
-1.834684014320373535e+00,-2.391916811466217041e-01,-5.540131092071533203e+00,-1.051818237304687500e+02
-1.834917426109313965e+00,-2.455812543630599976e-01,-2.227154254913330078e+00,-1.047941436767578125e+02
-1.817414164543151855e+00,-2.514763474464416504e-01,1.742311477661132812e+00,-1.042768630981445312e+02
-1.792679905891418457e+00,-2.568293213844299316e-01,1.872082471847534180e+00,-1.035765991210937500e+02
-1.776523351669311523e+00,-2.617530822753906250e-01,-7.538717985153198242e-01,-1.034966506958007812e+02
-1.762348771095275879e+00,-2.662889063358306885e-01,-1.494329810142517090e+00,-1.033480072021484375e+02
-1.758243680000305176e+00,-2.705568969249725342e-01,-6.775358915328979492e-01,-1.037625579833984375e+02
-1.765292763710021973e+00,-2.746819555759429932e-01,-1.662268757820129395e+00,-1.046746063232421875e+02
-1.797675371170043945e+00,-2.789246141910552979e-01,-4.929444313049316406e+00,-1.069697952270507812e+02
-1.816144227981567383e+00,-2.831398248672485352e-01,-5.631734371185302734e+00,-1.079442291259765625e+02
-1.870944499969482422e+00,-2.876922786235809326e-01,-5.448528289794921875e+00,-1.114555587768554688e+02
-1.966467618942260742e+00,-2.929723262786865234e-01,-8.005780220031738281e+00,-1.169123077392578125e+02
-2.082863569259643555e+00,-2.991523444652557373e-01,-1.008211612701416016e+01,-1.230207214355468750e+02
-2.180846452713012695e+00,-3.060031831264495850e-01,-9.227153778076171875e+00,-1.276771392822265625e+02
-2.251557111740112305e+00,-3.132185935974121094e-01,-7.036314487457275391e+00,-1.310072631835937500e+02
-2.307457208633422852e+00,-3.206322491168975830e-01,-5.822574138641357422e+00,-1.339272003173828125e+02
-2.353556156158447266e+00,-3.281361758708953857e-01,-3.929444313049316406e+00,-1.365136108398437500e+02
-2.404381036758422852e+00,-3.357731699943542480e-01,-3.937077760696411133e+00,-1.395821075439453125e+02
-2.482311725616455078e+00,-3.438076078891754150e-01,-7.555398464202880859e+00,-1.442863464355468750e+02
-2.560090780258178711e+00,-3.522181212902069092e-01,-8.868375778198242188e+00,-1.485311584472656250e+02
-2.623916387557983398e+00,-3.608463704586029053e-01,-8.387459754943847656e+00,-1.519340515136718750e+02
-2.693789720535278320e+00,-3.697419166564941406e-01,-7.563032150268554688e+00,-1.559886627197265625e+02
-2.745116472244262695e+00,-3.787060081958770752e-01,-6.188986301422119141e+00,-1.587905578613281250e+02
-2.791293859481811523e+00,-3.876836299896240234e-01,-4.479062557220458984e+00,-1.616071624755859375e+02
-2.879025697708129883e+00,-3.970896899700164795e-01,-7.975245952606201172e+00,-1.671362915039062500e+02
-2.966736793518066406e+00,-4.069025814533233643e-01,-1.025005531311035156e+01,-1.719577636718750000e+02
-3.022749185562133789e+00,-4.167849123477935791e-01,-6.570665836334228516e+00,-1.748194732666015625e+02
-3.011629581451416016e+00,-4.260619580745697021e-01,-7.691389322280883789e-01,-1.740258026123046875e+02
-2.900045871734619141e+00,-4.337593317031860352e-01,6.925517559051513672e+00,-1.680498046875000000e+02
-2.619755268096923828e+00,-4.382689297199249268e-01,2.202475357055664062e+01,-1.530990447998046875e+02
-2.307924747467041016e+00,-4.394347369670867920e-01,3.133773040771484375e+01,-1.388945312500000000e+02
-2.116110563278198242e+00,-4.386241137981414795e-01,2.125376129150390625e+01,-1.325110321044921875e+02
-1.951938629150390625e+00,-4.362122714519500732e-01,1.584918117523193359e+01,-1.255328369140625000e+02
-1.655695796012878418e+00,-4.309585988521575928e-01,2.433009719848632812e+01,-1.095872268676757812e+02
-1.363720297813415527e+00,-4.230478703975677490e-01,2.839116477966308594e+01,-9.601881408691406250e+01
-1.244745016098022461e+00,-4.143429100513458252e-01,1.516979217529296875e+01,-9.303127288818359375e+01
-1.198168873786926270e+00,-4.056074321269989014e-01,4.337731361389160156e+00,-9.142776489257812500e+01
-1.100929260253906250e+00,-3.963363468647003174e-01,5.253761768341064453e+00,-8.532894134521484375e+01
-1.039292693138122559e+00,-3.869124650955200195e-01,4.566739082336425781e+00,-8.233386230468750000e+01
-1.078798294067382812e+00,-3.783547878265380859e-01,-4.036314487457275391e+00,-8.505976867675781250e+01
-1.151683211326599121e+00,-3.709538877010345459e-01,-8.700436592102050781e+00,-8.815378570556640625e+01
-1.229009509086608887e+00,-3.646962940692901611e-01,-7.364558696746826172e+00,-9.103535461425781250e+01
-1.442057132720947266e+00,-3.608820736408233643e-01,-1.695234680175781250e+01,-1.024962005615234375e+02
-1.753931045532226562e+00,-3.603772521018981934e-01,-2.814318656921386719e+01,-1.179746856689453125e+02
-2.069750070571899414e+00,-3.630559146404266357e-01,-3.163173484802246094e+01,-1.322334442138671875e+02
-2.292895555496215820e+00,-3.678320646286010742e-01,-2.573860549926757812e+01,-1.408748779296875000e+02
-2.502188682556152344e+00,-3.744623363018035889e-01,-2.301341438293457031e+01,-1.505004882812500000e+02
-2.764063358306884766e+00,-3.833798468112945557e-01,-2.808975028991699219e+01,-1.638597564697265625e+02
-3.050388097763061523e+00,-3.947147428989410400e-01,-3.144852828979492188e+01,-1.780272521972656250e+02
-3.250669002532958984e+00,-4.074856936931610107e-01,-2.612028503417968750e+01,-1.865564727783203125e+02
-3.362709999084472656e+00,-4.207384884357452393e-01,-1.710501861572265625e+01,-1.912017211914062500e+02
-3.482285499572753906e+00,-4.345244169235229492e-01,-1.531112384796142578e+01,-1.979501953125000000e+02
-3.606052160263061523e+00,-4.488587081432342529e-01,-1.639509391784667969e+01,-2.048768157958984375e+02
-3.613607645034790039e+00,-4.625518321990966797e-01,-5.853108406066894531e+00,-2.044549713134765625e+02
-3.530599355697631836e+00,-4.747302234172821045e-01,4.849181652069091797e+00,-2.003524169921875000e+02
-3.347897768020629883e+00,-4.844726920127868652e-01,1.433009815216064453e+01,-1.914527587890625000e+02
-3.099213600158691406e+00,-4.912411868572235107e-01,2.220032501220703125e+01,-1.799593048095703125e+02
-2.804603576660156250e+00,-4.947251379489898682e-01,2.813162422180175781e+01,-1.664812927246093750e+02
-2.509996652603149414e+00,-4.950888454914093018e-01,3.008582115173339844e+01,-1.535245513916015625e+02
-2.079031944274902344e+00,-4.911247193813323975e-01,4.252856826782226562e+01,-1.316861267089843750e+02
-1.720598936080932617e+00,-4.837744832038879395e-01,4.009345626831054688e+01,-1.164667816162109375e+02
-1.463232994079589844e+00,-4.742181003093719482e-01,3.201712036132812500e+01,-1.060022583007812500e+02
-1.150865554809570312e+00,-4.620158374309539795e-01,3.370414352416992188e+01,-9.005355834960937500e+01
-8.230255842208862305e-01,-4.471453130245208740e-01,4.005528640747070312e+01,-7.387271881103515625e+01
-4.937346875667572021e-01,-4.297253787517547607e-01,3.651330184936523438e+01,-5.763177490234375000e+01
-3.172499835491180420e-01,-4.114115834236145020e-01,2.370414161682128906e+01,-5.081161117553710938e+01
-2.087622582912445068e-01,-3.929286003112792969e-01,1.568887519836425781e+01,-4.545133590698242188e+01
-1.506040245294570923e-01,-3.747881948947906494e-01,7.917883872985839844e+00,-4.202674865722656250e+01
-2.099105715751647949e-01,-3.581478893756866455e-01,-2.570665597915649414e+00,-4.513323593139648438e+01
-3.664698004722595215e-01,-3.439051806926727295e-01,-1.332639122009277344e+01,-5.239879989624023438e+01
-5.998071432113647461e-01,-3.327079713344573975e-01,-2.089127731323242188e+01,-6.297876358032226562e+01
-9.268286228179931641e-01,-3.253408372402191162e-01,-2.799814796447753906e+01,-7.836593627929687500e+01
-1.227885723114013672e+00,-3.213526606559753418e-01,-2.844852828979492188e+01,-9.078881835937500000e+01
-1.435434699058532715e+00,-3.196393549442291260e-01,-2.044089508056640625e+01,-9.809670257568359375e+01
-1.632369279861450195e+00,-3.199810683727264404e-01,-1.789127731323242188e+01,-1.066241760253906250e+02
-1.860659480094909668e+00,-3.225886225700378418e-01,-2.105158233642578125e+01,-1.175080413818359375e+02
-2.033611774444580078e+00,-3.267953097820281982e-01,-1.931112480163574219e+01,-1.245507812500000000e+02
-2.163211822509765625e+00,-3.320876657962799072e-01,-1.493707752227783203e+01,-1.300023651123046875e+02
-2.317425012588500977e+00,-3.386575281620025635e-01,-1.508974933624267578e+01,-1.378835449218750000e+02
-2.472470045089721680e+00,-3.464493453502655029e-01,-1.627295684814453125e+01,-1.454933013916015625e+02
-2.606029987335205078e+00,-3.551871776580810547e-01,-1.509738349914550781e+01,-1.518469238281250000e+02
-2.714956521987915039e+00,-3.645774126052856445e-01,-1.309738349914550781e+01,-1.571211395263671875e+02
-2.835361003875732422e+00,-3.747021257877349854e-01,-1.282257366180419922e+01,-1.636211090087890625e+02
-2.917657375335693359e+00,-3.851436078548431396e-01,-1.142562770843505859e+01,-1.675812225341796875e+02
-2.966290473937988281e+00,-3.955493569374084473e-01,-8.410360336303710938e+00,-1.701331176757812500e+02
-3.039676189422607422e+00,-4.061686098575592041e-01,-9.662268638610839844e+00,-1.748459014892578125e+02
-3.169430494308471680e+00,-4.175544977188110352e-01,-1.597524642944335938e+01,-1.826865692138671875e+02
-3.312628746032714844e+00,-4.298030734062194824e-01,-1.717371940612792969e+01,-1.904334869384765625e+02
-3.418941020965576172e+00,-4.425023198127746582e-01,-1.463936805725097656e+01,-1.956940917968750000e+02
-3.544578790664672852e+00,-4.558229744434356689e-01,-1.444089508056640625e+01,-2.028763580322265625e+02
-3.634600877761840820e+00,-4.693778157234191895e-01,-1.252486419677734375e+01,-2.075245361328125000e+02
-3.616491556167602539e+00,-4.820738434791564941e-01,-2.982879400253295898e+00,-2.060189819335937500e+02
-3.353593826293945312e+00,-4.915060698986053467e-01,1.583391380310058594e+01,-1.909480590820312500e+02
-2.959402322769165039e+00,-4.965248107910156250e-01,3.342169952392578125e+01,-1.716953277587890625e+02
-2.678946018218994141e+00,-4.984880089759826660e-01,2.894841766357421875e+01,-1.615596160888671875e+02
-2.491330623626708984e+00,-4.984768927097320557e-01,1.884154701232910156e+01,-1.549512176513671875e+02
-2.251155614852905273e+00,-4.960646033287048340e-01,1.857437133789062500e+01,-1.431815948486328125e+02
-1.954242229461669922e+00,-4.908037781715393066e-01,2.639879989624023438e+01,-1.285579376220703125e+02
-1.683447718620300293e+00,-4.830980598926544189e-01,2.945986747741699219e+01,-1.163357849121093750e+02
-1.393902897834777832e+00,-4.728821814060211182e-01,2.881864547729492188e+01,-1.022373504638671875e+02
-1.191900968551635742e+00,-4.611570537090301514e-01,2.436063194274902344e+01,-9.376081848144531250e+01
-1.049339413642883301e+00,-4.485926032066345215e-01,2.003238677978515625e+01,-8.731957244873046875e+01
-9.002166986465454102e-01,-4.351651370525360107e-01,2.064307403564453125e+01,-7.932035827636718750e+01
-7.298384904861450195e-01,-4.207052588462829590e-01,2.320032501220703125e+01,-7.001966857910156250e+01
