0,kd: 14.00, angle_mean: -2.0122, angle_summ: -10.0608, angle_diff: 16.9470, power: 208.83
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 0.0282, angle_summ: 0.1408, angle_diff: -0.0611, power: -0.46
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 12.2593, angle_summ: 61.2963, angle_diff: 15.2565, power: 386.81
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 24.1996, angle_summ: 120.9979, angle_diff: 18.3052, power: 598.21
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 29.3365, angle_summ: 146.6827, angle_diff: -11.2618, power: 256.86
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 25.8226, angle_summ: 129.1132, angle_diff: 10.0042, power: 504.93
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 32.1185, angle_summ: 160.5927, angle_diff: -7.4801, power: 349.11
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 20.4387, angle_summ: 102.1937, angle_diff: -14.2686, power: 89.04
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 13.0843, angle_summ: 65.4214, angle_diff: 2.6910, power: 222.55
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 9.0541, angle_summ: 45.2707, angle_diff: -11.9071, power: -38.76
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -7.4601, angle_summ: -37.3006, angle_diff: -18.5085, power: -364.53
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -12.2543, angle_summ: -61.2714, angle_diff: 1.1270, power: -157.38
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -12.3430, angle_summ: -61.7149, angle_diff: -5.1864, power: -247.02
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -25.0525, angle_summ: -125.2625, angle_diff: -8.1583, power: -468.21
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -29.2389, angle_summ: -146.1943, angle_diff: 3.5028, power: -364.11
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -21.2386, angle_summ: -106.1931, angle_diff: -2.5155, power: -335.32
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -20.9202, angle_summ: -104.6010, angle_diff: 1.6359, power: -272.70
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -20.6391, angle_summ: -103.1954, angle_diff: 11.0519, power: -136.90
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -7.8113, angle_summ: -39.0565, angle_diff: 13.1094, power: 73.16
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 8.0984, angle_summ: 40.4922, angle_diff: 13.3896, power: 301.89
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 19.2763, angle_summ: 96.3814, angle_diff: 11.0588, power: 427.20
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 9.5516, angle_summ: 47.7581, angle_diff: -10.8713, power: -17.23
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 19.4475, angle_summ: 97.2375, angle_diff: 7.3870, power: 378.21
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 22.2887, angle_summ: 111.4435, angle_diff: -3.2263, power: 269.77
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 18.9048, angle_summ: 94.5240, angle_diff: -4.8125, power: 199.75
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 11.7671, angle_summ: 58.8354, angle_diff: 14.2924, power: 366.36
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 25.5739, angle_summ: 127.8693, angle_diff: -5.9827, power: 277.60
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 20.8893, angle_summ: 104.4465, angle_diff: -2.0202, power: 266.88
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 15.9249, angle_summ: 79.6247, angle_diff: -5.2019, power: 152.19
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 12.9173, angle_summ: 64.5863, angle_diff: 0.3501, power: 187.42
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 7.2315, angle_summ: 36.1574, angle_diff: -10.0733, power: -38.84
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -2.7041, angle_summ: -13.5203, angle_diff: -12.5464, power: -213.86
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -11.7438, angle_summ: -58.7192, angle_diff: -7.1145, power: -265.54
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -23.0843, angle_summ: -115.4215, angle_diff: -15.6179, power: -544.83
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -21.7092, angle_summ: -108.5460, angle_diff: 9.1762, power: -178.29
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -24.3863, angle_summ: -121.9314, angle_diff: -1.0002, power: -358.58
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -23.9759, angle_summ: -119.8796, angle_diff: -0.7337, power: -349.05
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -23.0062, angle_summ: -115.0308, angle_diff: 8.2733, power: -209.25
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -14.0426, angle_summ: -70.2129, angle_diff: -6.1323, power: -284.27
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -27.0217, angle_summ: -135.1083, angle_diff: -3.7013, power: -433.63
