angle, ax, az, gy, dt
-0.3904, 1924, 15120, 120, 0.0030
-0.3561, 1796, 15148, 147, 0.0040
-0.1619, 1824, 15152, 154, 0.0030
-0.2680, 1872, 15304, 148, 0.0030
-0.4473, 1928, 15212, 167, 0.0040
-0.4039, 1852, 15332, 169, 0.0030
-0.2740, 1872, 15328, 155, 0.0030
-0.6667, 2048, 15200, 191, 0.0040
-0.9044, 1988, 15224, 212, 0.0030
-0.6761, 1924, 15192, 239, 0.0030
-0.8594, 2096, 15284, 270, 0.0040
-0.9114, 1968, 15316, 252, 0.0030
-0.8059, 2000, 14996, 263, 0.0030
-0.7972, 1952, 15224, 293, 0.0040
-0.3832, 1808, 15232, 284, 0.0030
-0.2474, 1872, 15172, 295, 0.0030
-0.3635, 1868, 15208, 288, 0.0040
-0.3262, 1848, 15140, 293, 0.0030
-0.1629, 1768, 15108, 275, 0.0030
0.2006, 1660, 15200, 270, 0.0040
0.3222, 1724, 15296, 237, 0.0030
0.3161, 1660, 15176, 210, 0.0030
0.1781, 1784, 15172, 222, 0.0030
0.2802, 1612, 15240, 183, 0.0040
0.5434, 1652, 15260, 165, 0.0030
0.3783, 1692, 15164, 130, 0.0030
0.4503, 1616, 15288, 139, 0.0030
0.4611, 1688, 15184, 78, 0.0040
0.3461, 1672, 15236, 86, 0.0030
0.3242, 1712, 15292, 74, 0.0030
0.2166, 1720, 15152, 25, 0.0030
0.0614, 1784, 15192, 42, 0.0030
-0.0408, 1780, 15196, 38, 0.0030
-0.0721, 1800, 15188, 20, 0.0040
-0.0162, 1748, 15180, 25, 0.0030
-0.1679, 1876, 15140, 28, 0.0030
-0.2832, 1820, 15264, 33, 0.0030
-0.1128, 1800, 15272, 35, 0.0040
-0.0400, 1796, 15396, 21, 0.0030
-0.0598, 1800, 15180, 36, 0.0030
-0.0970, 1812, 15360, 18, 0.0030
-0.3793, 1944, 15120, 43, 0.0040
-0.3935, 1800, 15192, 53, 0.0030
-0.2608, 1884, 15208, 44, 0.0030
-0.3880, 1872, 15220, 75, 0.0030
-0.1839, 1764, 15120, 89, 0.0040
-0.2580, 1904, 15156, 87, 0.0030
-0.4429, 1868, 15160, 89, 0.0030
-0.4393, 1920, 15296, 140, 0.0030
-0.4269, 1856, 15116, 116, 0.0040
-0.4085, 1900, 15216, 129, 0.0030
-0.3519, 1836, 15200, 131, 0.0030
-0.4528, 1960, 15260, 122, 0.0040
-0.5516, 1880, 15124, 172, 0.0030
-0.4819, 1928, 15304, 145, 0.0030
-0.5157, 1920, 15300, 138, 0.0040
-0.5360, 1920, 15152, 189, 0.0030
-0.3454, 1796, 15124, 164, 0.0030
-0.2205, 1864, 15244, 160, 0.0040
-0.2412, 1812, 15164, 188, 0.0030
-0.1046, 1788, 15224, 177, 0.0030
-0.0310, 1776, 15196, 149, 0.0040
0.0550, 1740, 15212, 129, 0.0030
0.0717, 1768, 15204, 151, 0.0030
0.0365, 1752, 15152, 135, 0.0030
0.1827, 1696, 15264, 136, 0.0040
0.2218, 1740, 15232, 105, 0.0030
0.1929, 1708, 15232, 133, 0.0030
0.0948, 1792, 15224, 118, 0.0030
-0.0223, 1760, 15140, 88, 0.0040
-0.0068, 1784, 15228, 99, 0.0030
-0.0913, 1824, 15296, 89, 0.0030
-0.0041, 1736, 15220, 82, 0.0030
-0.0908, 1864, 15240, 90, 0.0040
-0.1351, 1776, 15360, 75, 0.0030
-0.0220, 1804, 15248, 89, 0.0030
-0.1857, 1844, 15188, 52, 0.0030
-0.2141, 1816, 15224, 49, 0.0040
0.0858, 1692, 15268, 93, 0.0030
-0.0569, 1880, 15120, 14, 0.0030
-0.2761, 1804, 15216, 60, 0.0030
-0.0433, 1760, 15160, 49, 0.0040
-0.1156, 1840, 15192, 52, 0.0030
-0.0660, 1748, 15288, 10, 0.0030
0.0237, 1792, 15196, 11, 0.0030
0.1633, 1672, 15284, -5, 0.0030
0.2324, 1756, 15208, 13, 0.0040
0.0874, 1744, 15228, 12, 0.0030
0.2362, 1688, 15316, -22, 0.0030
0.2353, 1728, 15088, -59, 0.0030
0.1073, 1752, 15272, -60, 0.0030
0.1629, 1700, 15108, -82, 0.0040
0.2262, 1724, 15328, -86, 0.0030
0.2476, 1692, 15136, -103, 0.0030
0.1186, 1772, 15148, -135, 0.0040
-0.1174, 1824, 15184, -129, 0.0030
-0.0192, 1704, 15008, -144, 0.0030
0.0267, 1808, 15264, -159, 0.0040
-0.0989, 1796, 15224, -169, 0.0030
-0.2014, 1872, 15328, -132, 0.0030
-0.2198, 1824, 15380, -141, 0.0040
-0.1776, 1828, 15156, -187, 0.0030
-0.2139, 1824, 15216, -158, 0.0040
-0.3107, 1888, 15220, -172, 0.0030
-0.3539, 1840, 15156, -159, 0.0040
-0.5206, 1952, 15020, -169, 0.0030
-0.5124, 1840, 15188, -174, 0.0030
-0.5009, 1972, 15228, -188, 0.0040
-0.4468, 1812, 15196, -157, 0.0030
-0.3007, 1880, 15120, -146, 0.0040
-0.3481, 1836, 15184, -168, 0.0030
-0.1972, 1824, 15324, -148, 0.0030
-0.1639, 1816, 15172, -169, 0.0040
-0.3214, 1904, 15280, -158, 0.0030
-0.6133, 1992, 15320, -197, 0.0040
-0.7587, 1976, 15228, -166, 0.0030
-0.6672, 1936, 15264, -178, 0.0030
-0.4576, 1868, 15276, -169, 0.0040
-0.3680, 1888, 15268, -181, 0.0030
-0.5798, 1976, 15224, -167, 0.0040
-0.6044, 1900, 15256, -148, 0.0030
-0.4550, 1896, 15228, -149, 0.0040
-0.4987, 1920, 15228, -165, 0.0030
-0.6278, 1964, 15208, -107, 0.0030
-0.7082, 1960, 15204, -126, 0.0040
-0.8825, 2056, 15192, -105, 0.0030
-0.9435, 2000, 15256, -92, 0.0040
-0.9601, 2060, 15152, -34, 0.0030
-1.0367, 2024, 15120, -51, 0.0030
-1.2556, 2180, 15168, -37, 0.0040
-1.4972, 2140, 15020, 1, 0.0030
-1.3181, 2092, 15228, -26, 0.0030
-1.2972, 2144, 15128, -14, 0.0030
-1.2776, 2064, 15100, 29, 0.0040
-1.1446, 2084, 15212, 3, 0.0030
-1.0189, 2020, 15276, 17, 0.0030
-1.0377, 2080, 15108, 31, 0.0030
-1.0971, 2036, 15156, 31, 0.0040
-0.9269, 2012, 15284, 71, 0.0030
-0.7819, 1960, 15168, 74, 0.0030
-0.6563, 1928, 15160, 52, 0.0030
-0.8827, 2084, 15184, 70, 0.0040
-1.0756, 2024, 15100, 86, 0.0030
-0.8804, 1980, 15192, 87, 0.0030
-0.5850, 1892, 15312, 102, 0.0030
-0.5918, 1996, 15288, 79, 0.0040
-0.7600, 1964, 15164, 76, 0.0030
-0.7380, 1976, 15224, 94, 0.0030
-0.5327, 1864, 15248, 98, 0.0030
-0.5953, 2004, 15180, 105, 0.0040
-0.7891, 1960, 15180, 91, 0.0030
-0.6751, 1932, 15096, 124, 0.0030
-0.6421, 1960, 15320, 85, 0.0040
-0.5305, 1884, 15192, 98, 0.0030
-0.5674, 1964, 15196, 61, 0.0030
-0.5943, 1900, 15204, 100, 0.0030
-0.5330, 1948, 15328, 118, 0.0040
-0.5231, 1888, 15152, 65, 0.0030
-0.4251, 1892, 15308, 65, 0.0030
-0.4270, 1892, 15176, 63, 0.0030
-0.4532, 1892, 15196, 56, 0.0040
-0.4582, 1912, 15316, 32, 0.0030
-0.4477, 1888, 15208, 56, 0.0030
-0.4402, 1888, 15156, 33, 0.0030
-0.6631, 2020, 15300, 23, 0.0040
-0.7845, 1948, 15116, 21, 0.0030
-0.7098, 1972, 15240, 36, 0.0030
-0.7862, 1996, 15168, 51, 0.0030
-0.7450, 1944, 15196, 50, 0.0040
-0.8447, 2052, 15184, 70, 0.0030
-0.8139, 1940, 15292, 86, 0.0030
-0.5272, 1900, 15204, 76, 0.0030
-0.6533, 1980, 15076, 93, 0.0040
-0.7031, 1936, 15276, 77, 0.0030
-0.5607, 1924, 15236, 75, 0.0030
-0.6121, 1936, 15060, 63, 0.0030
-0.7774, 1996, 15104, 80, 0.0030
-0.6543, 1900, 15300, 79, 0.0040
-0.5416, 1956, 15264, 68, 0.0030
-0.7821, 2012, 15160, 63, 0.0030
-0.8908, 1992, 15092, 35, 0.0030
-0.6524, 1888, 15196, 53, 0.0040
-0.4100, 1884, 15268, 48, 0.0030
-0.2949, 1836, 15276, 77, 0.0030
-0.1756, 1808, 15172, 41, 0.0030
-0.2945, 1888, 15180, 45, 0.0040
-0.4528, 1892, 15164, 24, 0.0030
-0.2088, 1764, 15240, 49, 0.0030
0.0535, 1764, 15276, 13, 0.0030
-0.1180, 1856, 15240, 3, 0.0040
-0.2976, 1844, 15136, 3, 0.0030
-0.3051, 1848, 15140, -12, 0.0030
-0.3286, 1852, 15100, -32, 0.0030
-0.4373, 1920, 15252, -24, 0.0040
-0.4974, 1912, 15324, -48, 0.0030
-0.3197, 1828, 15284, -47, 0.0030
-0.2496, 1864, 15244, -74, 0.0030
-0.4149, 1920, 15308, -68, 0.0040
-0.4231, 1868, 15240, -60, 0.0030
-0.6145, 2004, 15152, -30, 0.0030
-0.9424, 2036, 15172, -34, 0.0040
-0.9528, 2008, 15140, -32, 0.0030
-1.0081, 2076, 15244, -33, 0.0030
-1.1780, 2088, 15060, -29, 0.0040
-1.2071, 2076, 15128, -7, 0.0030
-1.0089, 2004, 15224, -1, 0.0030
-1.0064, 2080, 15168, 9, 0.0040
-1.1776, 2068, 15016, 7, 0.0030
-1.2170, 2104, 15184, 43, 0.0030
-1.0771, 2012, 15156, 25, 0.0030
-0.9354, 2024, 15156, 79, 0.0030
-1.0067, 2060, 15228, 43, 0.0040
-0.9700, 2012, 15216, 44, 0.0030
-0.8801, 2008, 15200, 68, 0.0030
-0.9283, 2044, 15260, 53, 0.0030
-1.0510, 2076, 15212, 95, 0.0040
-1.0028, 2000, 15124, 78, 0.0030
